id,group,aff,strength,polviews_cat,age,sex,edu,wordsum,wordsum_cat,sci_knowledge,sci_kn_cat,oth_att,oth_att_cat
534,4,lib,reg,lib,34,male,bach,8,higher,5,higher,0.6666666666666666,mid
674,4,lib,reg,lib,36,female,bach,8,higher,3,mid,0.75,mid
51,4,lib,reg,lib,23,female,<bach,8,higher,3,mid,0.6666666666666666,mid
15,4,lib,reg,lib,32,female,bach,8,higher,2,lower,0.8333333333333334,higher
753,4,lib,reg,lib,34,male,bach,8,higher,4,mid,0.5833333333333334,lower
273,4,lib,reg,lib,39,male,bach,8,higher,3,mid,0.75,mid
925,4,lib,reg,lib,50,female,grad,8,higher,3,mid,0.9166666666666666,higher
788,4,lib,reg,lib,34,male,bach,8,higher,4,mid,0.6666666666666666,mid
473,4,lib,reg,lib,40,female,grad,8,higher,5,higher,0.75,mid
423,4,lib,reg,lib,34,female,grad,8,higher,3,mid,0.8333333333333334,higher
773,4,lib,reg,lib,42,female,bach,9,higher,4,mid,1,higher
915,4,lib,reg,lib,35,female,grad,9,higher,3,mid,0.9166666666666666,higher
358,4,lib,reg,lib,34,male,<bach,9,higher,4,mid,1,higher
505,4,lib,reg,lib,58,male,grad,9,higher,5,higher,1,higher
114,4,lib,reg,lib,62,female,bach,9,higher,5,higher,0.75,mid
765,4,lib,reg,lib,34,male,bach,9,higher,4,mid,0.75,mid
463,4,lib,reg,lib,32,male,bach,9,higher,4,mid,0.5833333333333334,lower
755,4,lib,reg,lib,27,female,grad,9,higher,5,higher,0.5833333333333334,lower
220,4,lib,reg,lib,28,female,<bach,9,higher,4,mid,0.5833333333333334,lower
613,4,lib,reg,lib,47,female,<bach,9,higher,3,mid,0.9166666666666666,higher
333,4,lib,reg,lib,29,female,bach,9,higher,5,higher,0.75,mid
209,4,lib,reg,lib,36,male,bach,9,higher,5,higher,0.6666666666666666,mid
443,4,lib,reg,lib,44,male,<bach,9,higher,4,mid,0.8333333333333334,higher
40,4,lib,reg,lib,48,male,<bach,9,higher,4,mid,0.6666666666666666,mid
924,4,lib,reg,lib,23,female,<bach,9,higher,4,mid,0.8333333333333334,higher
831,4,lib,reg,lib,36,female,<bach,9,higher,4,mid,0.8333333333333334,higher
376,4,lib,reg,lib,28,male,bach,10,higher,4,mid,0.8333333333333334,higher
678,4,lib,reg,lib,25,male,<bach,10,higher,5,higher,0.5833333333333334,lower
29,4,lib,reg,lib,59,female,bach,10,higher,5,higher,0.6666666666666666,mid
504,4,lib,reg,lib,35,male,<bach,10,higher,3,mid,1,higher
955,4,lib,reg,lib,31,male,bach,10,higher,5,higher,0.75,mid
87,4,lib,reg,lib,47,female,bach,10,higher,5,higher,1,higher
708,4,lib,reg,lib,62,female,bach,10,higher,5,higher,0.8333333333333334,higher
309,2,lib,sl,sl_lib,22,male,<bach,3,lower,5,higher,0.5,lower
94,2,lib,sl,sl_lib,23,female,<bach,3,lower,0,lower,0.3333333333333333,lower
13,2,lib,sl,sl_lib,26,male,bach,3,lower,2,lower,0.5,lower
